Participant,NewsMeasure,Sample,Ratings_M,Ratings_Scored,SocialJetlag_ABS,SocialJetlag_ABS_Binned,Chronotype,SleepDurationAvg,SleepDurationAvg_Binned,SampleCoded,CRT,HL,Age,Edu,Gender,NewsType,NewsDomain,NewsTypeCoded,NewsDomainCoded,GenderCoded,Pct_Confidently_Correct,Pct_Unconfidently_Correct,Pct_Confidently_Incorrect,Pct_Unconfidently_Incorrect
415,Real-Covid,Liberal,53.13333333,0.533333333,1,'1-2,33.88095238,9.76,'9-10,-0.5,2,6,27,4,Male,Real,Covid,0.5,-0.5,0.5,53.33333333,0,40,6.666666667
415,Real-The Big Lie,Liberal,72.26666667,0.666666667,1,'1-2,33.88095238,9.76,'9-10,-0.5,2,6,27,4,Male,Real,TBL,0.5,0.5,0.5,66.66666667,0,20,13.33333333
416,Fake-Covid,Liberal,19.26666667,1,1.5,'1-2,25.96428571,8.93,'8-9,-0.5,3,5,62,7,Female,Fake,Covid,-0.5,-0.5,-0.5,53.33333333,46.66666667,0,0
416,Fake-The Big Lie,Liberal,34,0.8,1.5,'1-2,25.96428571,8.93,'8-9,-0.5,3,5,62,7,Female,Fake,TBL,-0.5,0.5,-0.5,20,60,6.666666667,13.33333333
416,Real-Covid,Liberal,29.13333333,0.133333333,1.5,'1-2,25.96428571,8.93,'8-9,-0.5,3,5,62,7,Female,Real,Covid,0.5,-0.5,-0.5,0,13.33333333,33.33333333,53.33333333
416,Real-The Big Lie,Liberal,29.66666667,0.133333333,1.5,'1-2,25.96428571,8.93,'8-9,-0.5,3,5,62,7,Female,Real,TBL,0.5,0.5,-0.5,6.666666667,6.666666667,33.33333333,53.33333333
417,Fake-Covid,Liberal,35.13333333,0.666666667,0,'0-1,27.5,8,'8-9,-0.5,3,5,38,7,Female,Fake,Covid,-0.5,-0.5,-0.5,60,6.666666667,33.33333333,0
417,Fake-The Big Lie,Liberal,17.86666667,0.866666667,0,'0-1,27.5,8,'8-9,-0.5,3,5,38,7,Female,Fake,TBL,-0.5,0.5,-0.5,80,6.666666667,13.33333333,0
417,Real-Covid,Liberal,63.73333333,0.8,0,'0-1,27.5,8,'8-9,-0.5,3,5,38,7,Female,Real,Covid,0.5,-0.5,-0.5,80,0,20,0
417,Real-The Big Lie,Liberal,67.53333333,0.8,0,'0-1,27.5,8,'8-9,-0.5,3,5,38,7,Female,Real,TBL,0.5,0.5,-0.5,80,0,13.33333333,6.666666667
